name,gender,email,phone,cpf,birthdate
Bruna,feminino,bruna@email.com,(12) 9 3456-7890,12345678914,12/01/2000
Luchini,feminino,bruna@gmail.com,(12) 9 3456-7890,12345674560,30/04/2000
Louchini,outro,bruna@gmail.com,(12) 9 3456-7890,12345678910,21/04/2000
Teste,masculino,teste@email.com,(32) 9 5678-4321,23498745610,01/01/2000
Testa,feminino,testa@test.com,(32) 9 4354-6576,32165498721,03/03/2003
Pass,masculino,pass@pass.com,(21) 9 0978-6534,89032156743,04/04/2004
Bruna,feminino,bruna@gmail.com,(12) 9 9345-6789,96685574423,12/12/1967
Ana,feminino,ana@email.com,(38) 9 9999-1111,11122266678,09/11/1989
Margô,outro,margo@robbie.com,(73) 9 12345-9632,40404040475,09/11/2000
Carolina,outro,carolina@carol.com,(13) 9 23132-4658,85963214723,19/05/1945
Bruna,masculino,bruna@gmail.com,(11) 9 2233-4455,44455533322,11/12/2013
Carlos,masculino,carlos@calrso.com,(13) 9 12311-2345,33355544498,06/08/2015
Teka,outro,teka@dog.com,(56) 9 12345-1352,09876543211,15/4/2020
Analicia,masculino,antonio@rmil.c,(23) 9 41233-4564,08867893629,09/4/1980
